WHO Region Code,WHO Region,Country Code,Country,Year,Sex,Alcohol total per capita (15+) consumption in liters (numeric),Alcohol total per capita (15+) consumption in liters (low estimation),Alcohol total per capita (15+) consumption in liters (high estimation),Alcohol total per capita (15+) consumption in liters (string)
EMR,Eastern Mediterranean,JOR,Jordan,2019,Female,0.14,0.06,0.28,0.14 [0.06 – 0.28]
EMR,Eastern Mediterranean,EGY,Egypt,2019,Both sexes,0.14,0.099,0.22,0.14 [0.099 – 0.22]
AFR,Africa,NER,Niger,2019,Female,0.15,0.057,0.3,0.15 [0.057 – 0.3]
WPR,Western Pacific,TON,Tonga,2019,Female,0.15,0.076,0.29,0.15 [0.076 – 0.29]
AFR,Africa,DZA,Algeria,2019,Female,0.17,0.13,0.23,0.17 [0.13 – 0.23]
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Both sexes,0.19,0.11,0.39,0.19 [0.11 – 0.39]
SEAR,South-East Asia,BTN,Bhutan,2019,Both sexes,0.21,0.06,0.5,0.21 [0.06 – 0.5]
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Female,0.21,0.066,0.44,0.21 [0.066 – 0.44]
SEAR,South-East Asia,TLS,Timor-Leste,2019,Female,0.21,0.16,0.34,0.21 [0.16 – 0.34]
SEAR,South-East Asia,IDN,Indonesia,2019,Both sexes,0.22,0.091,0.5,0.22 [0.091 – 0.5]
AFR,Africa,SEN,Senegal,2019,Female,0.22,0.098,0.42,0.22 [0.098 – 0.42]
EMR,Eastern Mediterranean,OMN,Oman,2019,Female,0.23,0.12,0.34,0.23 [0.12 – 0.34]
EMR,Eastern Mediterranean,EGY,Egypt,2019,Male,0.24,0.17,0.38,0.24 [0.17 – 0.38]
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Female,0.25,0.092,0.47,0.25 [0.092 – 0.47]
SEAR,South-East Asia,NPL,Nepal,2019,Female,0.25,0.16,0.43,0.25 [0.16 – 0.43]
EUR,Europe,TJK,Tajikistan,2019,Female,0.26,0.22,0.31,0.26 [0.22 – 0.31]
AFR,Africa,COM,Comoros,2019,Female,0.3,0.13,0.49,0.3 [0.13 – 0.49]
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Both sexes,0.31,0.064,0.72,0.31 [0.064 – 0.72]
EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2019,Male,0.32,0.19,0.67,0.32 [0.19 – 0.67]
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Female,0.32,0.22,0.41,0.32 [0.22 – 0.41]
EUR,Europe,AZE,Azerbaijan,2019,Female,0.32,0.26,0.42,0.32 [0.26 – 0.42]
SEAR,South-East Asia,BTN,Bhutan,2019,Male,0.33,0.09,0.76,0.33 [0.09 – 0.76]
WPR,Western Pacific,MYS,Malaysia,2019,Female,0.35,0.22,0.54,0.35 [0.22 – 0.54]
AFR,Africa,GIN,Guinea,2019,Female,0.36,0.18,0.59,0.36 [0.18 – 0.59]
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Both sexes,0.36,0.24,0.63,0.36 [0.24 – 0.63]
SEAR,South-East Asia,IDN,Indonesia,2019,Male,0.37,0.16,0.85,0.37 [0.16 – 0.85]
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Both sexes,0.37,0.18,0.69,0.37 [0.18 – 0.69]
EMR,Eastern Mediterranean,QAT,Qatar,2019,Female,0.38,0.21,0.5,0.38 [0.21 – 0.5]
AFR,Africa,MLI,Mali,2019,Female,0.39,0.23,0.6,0.39 [0.23 – 0.6]
WPR,Western Pacific,TON,Tonga,2019,Both sexes,0.43,0.21,0.82,0.43 [0.21 – 0.82]
WPR,Western Pacific,TUV,Tuvalu,2019,Female,0.45,0.34,0.63,0.45 [0.34 – 0.63]
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Both sexes,0.46,0.15,0.97,0.46 [0.15 – 0.97]
AFR,Africa,TCD,Chad,2019,Female,0.46,0.27,0.71,0.46 [0.27 – 0.71]
AFR,Africa,COD,Democratic Republic of the Congo,2019,Female,0.46,0.28,0.72,0.46 [0.28 – 0.72]
EUR,Europe,TUR,Turkey,2019,Female,0.48,0.33,0.7,0.48 [0.33 – 0.7]
EMR,Eastern Mediterranean,MAR,Morocco,2019,Both sexes,0.49,0.36,0.75,0.49 [0.36 – 0.75]
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Female,0.49,0.37,0.7,0.49 [0.37 – 0.7]
EMR,Eastern Mediterranean,PAK,Pakistan,2019,Male,0.52,0.11,1.23,0.52 [0.11 – 1.23]
AFR,Africa,NER,Niger,2019,Both sexes,0.52,0.2,1.05,0.52 [0.2 – 1.05]
EMR,Eastern Mediterranean,JOR,Jordan,2019,Both sexes,0.52,0.23,0.98,0.52 [0.23 – 0.98]
EMR,Eastern Mediterranean,TUN,Tunisia,2019,Female,0.53,0.36,0.77,0.53 [0.36 – 0.77]
SEAR,South-East Asia,TLS,Timor-Leste,2019,Both sexes,0.53,0.4,0.83,0.53 [0.4 – 0.83]
SEAR,South-East Asia,MDV,Maldives,2019,Female,0.57,0.33,0.74,0.57 [0.33 – 0.74]
WPR,Western Pacific,SLB,Solomon Islands,2019,Female,0.59,0.42,0.81,0.59 [0.42 – 0.81]
EMR,Eastern Mediterranean,DJI,Djibouti,2019,Male,0.6,0.39,1.04,0.6 [0.39 – 1.04]
SEAR,South-East Asia,NPL,Nepal,2019,Both sexes,0.62,0.37,1.02,0.62 [0.37 – 1.02]
AFR,Africa,DZA,Algeria,2019,Both sexes,0.63,0.54,0.83,0.63 [0.54 – 0.83]
EMR,Eastern Mediterranean,IRQ,Iraq,2019,Male,0.64,0.3,1.2,0.64 [0.3 – 1.2]
WPR,Western Pacific,BRN,Brunei Darussalam,2019,Male,0.68,0.22,1.41,0.68 [0.22 – 1.41]
AMR,Americas,GTM,Guatemala,2019,Female,0.69,0.59,0.83,0.69 [0.59 – 0.83]
AFR,Africa,CAF,Central African Republic,2019,Female,0.71,0.47,1.01,0.71 [0.47 – 1.01]
WPR,Western Pacific,PNG,Papua New Guinea,2019,Female,0.72,0.5,0.95,0.72 [0.5 – 0.95]
AFR,Africa,SEN,Senegal,2019,Both sexes,0.73,0.32,1.34,0.73 [0.32 – 1.34]
WPR,Western Pacific,TON,Tonga,2019,Male,0.73,0.36,1.38,0.73 [0.36 – 1.38]
WPR,Western Pacific,VUT,Vanuatu,2019,Female,0.73,0.46,1.03,0.73 [0.46 – 1.03]
AFR,Africa,ERI,Eritrea,2019,Female,0.73,0.46,1.05,0.73 [0.46 – 1.05]
AFR,Africa,MDG,Madagascar,2019,Female,0.77,0.48,1.1,0.77 [0.48 – 1.1]
AFR,Africa,ETH,Ethiopia,2019,Female,0.78,0.5,1.11,0.78 [0.5 – 1.11]
EUR,Europe,UZB,Uzbekistan,2019,Female,0.79,0.64,0.99,0.79 [0.64 – 0.99]
WPR,Western Pacific,KIR,Kiribati,2019,Female,0.8,0.32,1.28,0.8 [0.32 – 1.28]
AFR,Africa,KEN,Kenya,2019,Female,0.83,0.67,1.07,0.83 [0.67 – 1.07]
SEAR,South-East Asia,TLS,Timor-Leste,2019,Male,0.84,0.63,1.31,0.84 [0.63 – 1.31]
WPR,Western Pacific,FSM,Micronesia (Federated States of),2019,Female,0.85,0.6,1.1,0.85 [0.6 – 1.1]
SEAR,South-East Asia,MMR,Myanmar,2019,Female,0.85,0.72,1.08,0.85 [0.72 – 1.08]
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2019,Female,0.87,0.64,1.33,0.87 [0.64 – 1.33]
EMR,Eastern Mediterranean,MAR,Morocco,2019,Male,0.87,0.64,1.35,0.87 [0.64 – 1.35]
EUR,Europe,TJK,Tajikistan,2019,Both sexes,0.88,0.74,1.03,0.88 [0.74 – 1.03]
AFR,Africa,NER,Niger,2019,Male,0.89,0.33,1.81,0.89 [0.33 – 1.81]
EMR,Eastern Mediterranean,JOR,Jordan,2019,Male,0.89,0.39,1.67,0.89 [0.39 – 1.67]
AFR,Africa,BEN,Benin,2019,Female,0.9,0.64,1.23,0.9 [0.64 – 1.23]
EMR,Eastern Mediterranean,OMN,Oman,2019,Both sexes,0.92,0.56,1.48,0.92 [0.56 – 1.48]
WPR,Western Pacific,MYS,Malaysia,2019,Both sexes,0.93,0.59,1.42,0.93 [0.59 – 1.42]
WPR,Western Pacific,WSM,Samoa,2019,Female,0.93,0.66,1.23,0.93 [0.66 – 1.23]
EUR,Europe,AZE,Azerbaijan,2019,Both sexes,0.98,0.79,1.25,0.98 [0.79 – 1.25]
WPR,Western Pacific,SGP,Singapore,2019,Female,0.99,0.74,1.25,0.99 [0.74 – 1.25]
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Both sexes,1.01,0.38,1.8,1.01 [0.38 – 1.8]
EUR,Europe,TKM,Turkmenistan,2019,Female,1.03,0.91,1.22,1.03 [0.91 – 1.22]
AFR,Africa,MOZ,Mozambique,2019,Female,1.04,0.73,1.4,1.04 [0.73 – 1.4]
AFR,Africa,GIN,Guinea,2019,Both sexes,1.09,0.53,1.75,1.09 [0.53 – 1.75]
AFR,Africa,GMB,Gambia,2019,Female,1.09,0.77,1.32,1.09 [0.77 – 1.32]
AFR,Africa,DZA,Algeria,2019,Male,1.09,0.92,1.43,1.09 [0.92 – 1.43]
AFR,Africa,COD,Democratic Republic of the Congo,2019,Both sexes,1.1,0.66,1.72,1.1 [0.66 – 1.72]
SEAR,South-East Asia,NPL,Nepal,2019,Male,1.1,0.7,1.93,1.1 [0.7 – 1.93]
AFR,Africa,TGO,Togo,2019,Female,1.1,0.75,1.47,1.1 [0.75 – 1.47]
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Both sexes,1.13,0.9,1.5,1.13 [0.9 – 1.5]
AFR,Africa,COM,Comoros,2019,Both sexes,1.15,0.47,1.9,1.15 [0.47 – 1.9]
AFR,Africa,GHA,Ghana,2019,Female,1.16,0.81,1.56,1.16 [0.81 – 1.56]
AFR,Africa,CIV,Côte d’Ivoire,2019,Female,1.19,0.84,1.58,1.19 [0.84 – 1.58]
SEAR,South-East Asia,LKA,Sri Lanka,2019,Female,1.19,0.96,1.53,1.19 [0.96 – 1.53]
AMR,Americas,HTI,Haiti,2019,Female,1.19,0.97,1.42,1.19 [0.97 – 1.42]
AFR,Africa,NAM,Namibia,2019,Female,1.2,0.98,1.54,1.2 [0.98 – 1.54]
EMR,Eastern Mediterranean,OMN,Oman,2019,Male,1.22,0.66,1.75,1.22 [0.66 – 1.75]
WPR,Western Pacific,FJI,Fiji,2019,Female,1.23,0.92,1.6,1.23 [0.92 – 1.6]
AFR,Africa,TCD,Chad,2019,Both sexes,1.26,0.75,1.93,1.26 [0.75 – 1.93]
AFR,Africa,SEN,Senegal,2019,Male,1.3,0.58,2.42,1.3 [0.58 – 2.42]
AFR,Africa,MLI,Mali,2019,Both sexes,1.31,0.78,2.01,1.31 [0.78 – 2.01]
WPR,Western Pacific,TUV,Tuvalu,2019,Both sexes,1.31,0.97,1.81,1.31 [0.97 – 1.81]
WPR,Western Pacific,NRU,Nauru,2019,Female,1.46,1.08,1.88,1.46 [1.08 – 1.88]
AFR,Africa,SLE,Sierra Leone,2019,Female,1.47,1.23,2.12,1.47 [1.23 – 2.12]
WPR,Western Pacific,MYS,Malaysia,2019,Male,1.48,0.92,2.24,1.48 [0.92 – 2.24]
EUR,Europe,TJK,Tajikistan,2019,Male,1.49,1.26,1.75,1.49 [1.26 – 1.75]
EMR,Eastern Mediterranean,QAT,Qatar,2019,Both sexes,1.51,1.05,2.12,1.51 [1.05 – 2.12]
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Female,1.51,1.21,1.88,1.51 [1.21 – 1.88]
EUR,Europe,KGZ,Kyrgyzstan,2019,Female,1.51,1.23,1.86,1.51 [1.23 – 1.86]
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Both sexes,1.53,1.18,2.03,1.53 [1.18 – 2.03]
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Male,1.54,1.09,1.86,1.54 [1.09 – 1.86]
AFR,Africa,MWI,Malawi,2019,Female,1.56,1.12,2.05,1.56 [1.12 – 2.05]
AMR,Americas,ECU,Ecuador,2019,Female,1.56,1.29,1.92,1.56 [1.29 – 1.92]
AMR,Americas,HND,Honduras,2019,Female,1.57,1.18,1.98,1.57 [1.18 – 1.98]
SEAR,South-East Asia,PRK,Democratic People's Republic of Korea,2019,Female,1.61,1.25,2.0,1.61 [1.25 – 2]
AFR,Africa,ZWE,Zimbabwe,2019,Female,1.62,1.34,2.06,1.62 [1.34 – 2.06]
AMR,Americas,GTM,Guatemala,2019,Both sexes,1.63,1.4,1.93,1.63 [1.4 – 1.93]
AFR,Africa,LSO,Lesotho,2019,Female,1.67,1.28,2.07,1.67 [1.28 – 2.07]
EUR,Europe,AZE,Azerbaijan,2019,Male,1.67,1.35,2.13,1.67 [1.35 – 2.13]
AMR,Americas,CRI,Costa Rica,2019,Female,1.68,1.3,2.07,1.68 [1.3 – 2.07]
AMR,Americas,JAM,Jamaica,2019,Female,1.69,1.34,2.11,1.69 [1.34 – 2.11]
AFR,Africa,CAF,Central African Republic,2019,Both sexes,1.71,1.13,2.43,1.71 [1.13 – 2.43]
WPR,Western Pacific,SLB,Solomon Islands,2019,Both sexes,1.74,1.23,2.39,1.74 [1.23 – 2.39]
AMR,Americas,SLV,El Salvador,2019,Female,1.75,1.44,2.29,1.75 [1.44 – 2.29]
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Male,1.76,0.65,3.11,1.76 [0.65 – 3.11]
AFR,Africa,COD,Democratic Republic of the Congo,2019,Male,1.76,1.06,2.76,1.76 [1.06 – 2.76]
EUR,Europe,TUR,Turkey,2019,Both sexes,1.77,1.27,2.41,1.77 [1.27 – 2.41]
AFR,Africa,ZMB,Zambia,2019,Female,1.79,1.48,2.17,1.79 [1.48 – 2.17]
EMR,Eastern Mediterranean,QAT,Qatar,2019,Male,1.81,1.06,2.22,1.81 [1.06 – 2.22]
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,Female,1.84,1.46,2.3,1.84 [1.46 – 2.3]
SEAR,South-East Asia,IND,India,2019,Female,1.89,1.4,2.39,1.89 [1.4 – 2.39]
AFR,Africa,GIN,Guinea,2019,Male,1.94,0.96,3.17,1.94 [0.96 – 3.17]
AFR,Africa,MDG,Madagascar,2019,Both sexes,1.98,1.25,2.83,1.98 [1.25 – 2.83]
AMR,Americas,KNA,Saint Kitts and Nevis,2019,Male,10.01,7.67,12.65,10.01 [7.67 – 12.65]
AFR,Africa,CPV,Cabo Verde,2019,Male,10.06,8.19,11.89,10.06 [8.19 – 11.89]
WPR,Western Pacific,JPN,Japan,2019,Both sexes,10.09,8.56,11.7,10.09 [8.56 – 11.7]
EUR,Europe,DNK,Denmark,2019,Both sexes,10.13,8.6,11.69,10.13 [8.6 – 11.69]
AMR,Americas,BLZ,Belize,2019,Male,10.18,8.06,12.5,10.18 [8.06 – 12.5]
AMR,Americas,TTO,Trinidad and Tobago,2019,Male,10.24,8.68,12.17,10.24 [8.68 – 12.17]
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Male,10.36,8.12,12.82,10.36 [8.12 – 12.82]
WPR,Western Pacific,AUS,Australia,2019,Both sexes,10.36,9.02,11.92,10.36 [9.02 – 11.92]
AMR,Americas,BRB,Barbados,2019,Both sexes,10.37,8.49,12.12,10.37 [8.49 – 12.12]
AMR,Americas,PER,Peru,2019,Male,10.41,8.8,12.31,10.41 [8.8 – 12.31]
EUR,Europe,GRC,Greece,2019,Both sexes,10.5,8.57,12.38,10.5 [8.57 – 12.38]
EUR,Europe,RUS,Russian Federation,2019,Both sexes,10.5,8.75,12.19,10.5 [8.75 – 12.19]
AMR,Americas,DOM,Dominican Republic,2019,Male,10.62,8.77,12.78,10.62 [8.77 – 12.78]
EUR,Europe,FIN,Finland,2019,Both sexes,10.65,9.17,12.18,10.65 [9.17 – 12.18]
WPR,Western Pacific,NZL,New Zealand,2019,Both sexes,10.69,9.3,12.11,10.69 [9.3 – 12.11]
EUR,Europe,EST,Estonia,2019,Both sexes,10.75,9.14,12.64,10.75 [9.14 – 12.64]
EUR,Europe,CYP,Cyprus,2019,Both sexes,10.8,9.12,12.51,10.8 [9.12 – 12.51]
EUR,Europe,NOR,Norway,2019,Male,10.8,9.24,12.46,10.8 [9.24 – 12.46]
EUR,Europe,BEL,Belgium,2019,Both sexes,10.8,9.31,12.26,10.8 [9.31 – 12.26]
AMR,Americas,URY,Uruguay,2019,Male,10.82,9.14,12.93,10.82 [9.14 – 12.93]
WPR,Western Pacific,COK,Cook Islands,2019,Both sexes,10.94,8.86,13.08,10.94 [8.86 – 13.08]
AMR,Americas,PRY,Paraguay,2019,Male,10.96,8.92,13.0,10.96 [8.92 – 13]
EUR,Europe,BLR,Belarus,2019,Both sexes,10.96,9.59,12.44,10.96 [9.59 – 12.44]
EUR,Europe,ALB,Albania,2019,Male,11.02,9.11,13.48,11.02 [9.11 – 13.48]
AFR,Africa,BFA,Burkina Faso,2019,Both sexes,11.05,9.15,12.9,11.05 [9.15 – 12.9]
EUR,Europe,SVK,Slovakia,2019,Both sexes,11.06,9.45,12.8,11.06 [9.45 – 12.8]
EUR,Europe,HUN,Hungary,2019,Both sexes,11.07,9.42,12.77,11.07 [9.42 – 12.77]
AFR,Africa,BWA,Botswana,2019,Male,11.1,9.66,13.18,11.1 [9.66 – 13.18]
WPR,Western Pacific,PHL,Philippines,2019,Male,11.22,8.95,13.45,11.22 [8.95 – 13.45]
EUR,Europe,CHE,Switzerland,2019,Both sexes,11.23,9.73,12.89,11.23 [9.73 – 12.89]
AMR,Americas,VCT,Saint Vincent and the Grenadines,2019,Male,11.29,9.38,13.21,11.29 [9.38 – 13.21]
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2019,Both sexes,11.45,9.94,12.98,11.45 [9.94 – 12.98]
AMR,Americas,DMA,Dominica,2019,Male,11.53,9.05,13.68,11.53 [9.05 – 13.68]
AMR,Americas,BRA,Brazil,2019,Male,11.65,9.67,13.85,11.65 [9.67 – 13.85]
AMR,Americas,SUR,Suriname,2019,Male,11.74,9.59,13.81,11.74 [9.59 – 13.81]
EUR,Europe,POL,Poland,2019,Both sexes,11.89,10.02,13.81,11.89 [10.02 – 13.81]
EUR,Europe,AUT,Austria,2019,Both sexes,11.93,10.27,13.78,11.93 [10.27 – 13.78]
AFR,Africa,TZA,United Republic of Tanzania,2019,Both sexes,12.04,9.93,14.31,12.04 [9.93 – 14.31]
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,Both sexes,12.08,10.11,14.06,12.08 [10.11 – 14.06]
EUR,Europe,PRT,Portugal,2019,Both sexes,12.09,10.06,14.03,12.09 [10.06 – 14.03]
EUR,Europe,SVN,Slovenia,2019,Both sexes,12.11,10.25,13.89,12.11 [10.25 – 13.89]
AFR,Africa,BDI,Burundi,2019,Male,12.22,9.61,14.93,12.22 [9.61 – 14.93]
EUR,Europe,FRA,France,2019,Both sexes,12.23,10.29,14.16,12.23 [10.29 – 14.16]
AMR,Americas,PAN,Panama,2019,Male,12.23,9.77,14.42,12.23 [9.77 – 14.42]
EUR,Europe,MNE,Montenegro,2019,Both sexes,12.24,10.48,14.04,12.24 [10.48 – 14.04]
AFR,Africa,GAB,Gabon,2019,Male,12.24,9.98,14.21,12.24 [9.98 – 14.21]
EUR,Europe,AND,Andorra,2019,Both sexes,12.26,10.23,14.14,12.26 [10.23 – 14.14]
EUR,Europe,ROU,Romania,2019,Both sexes,12.34,10.58,14.19,12.34 [10.58 – 14.19]
AFR,Africa,AGO,Angola,2019,Male,12.39,10.37,14.93,12.39 [10.37 – 14.93]
EUR,Europe,LUX,Luxembourg,2019,Both sexes,12.45,10.65,14.15,12.45 [10.65 – 14.15]
EUR,Europe,BGR,Bulgaria,2019,Both sexes,12.46,10.74,14.2,12.46 [10.74 – 14.2]
AFR,Africa,UGA,Uganda,2019,Both sexes,12.48,10.31,14.74,12.48 [10.31 – 14.74]
EUR,Europe,ESP,Spain,2019,Both sexes,12.67,10.83,14.51,12.67 [10.83 – 14.51]
EUR,Europe,ITA,Italy,2019,Male,12.74,10.91,15.13,12.74 [10.91 – 15.13]
EUR,Europe,IRL,Ireland,2019,Both sexes,12.75,11.17,14.5,12.75 [11.17 – 14.5]
WPR,Western Pacific,KOR,Republic of Korea,2019,Male,12.76,10.52,15.04,12.76 [10.52 – 15.04]
EUR,Europe,LTU,Lithuania,2019,Both sexes,12.78,10.95,14.53,12.78 [10.95 – 14.53]
EUR,Europe,DEU,Germany,2019,Both sexes,12.79,11.13,14.54,12.79 [11.13 – 14.54]
WPR,Western Pacific,VNM,Viet Nam,2019,Male,12.84,9.87,15.75,12.84 [9.87 – 15.75]
EUR,Europe,MDA,Republic of Moldova,2019,Both sexes,12.85,10.94,14.98,12.85 [10.94 – 14.98]
EUR,Europe,MLT,Malta,2019,Male,12.88,10.75,15.15,12.88 [10.75 – 15.15]
WPR,Western Pacific,KHM,Cambodia,2019,Male,12.9,10.33,16.18,12.9 [10.33 – 16.18]
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Male,12.95,10.62,15.49,12.95 [10.62 – 15.49]
AFR,Africa,RWA,Rwanda,2019,Male,13.11,10.71,16.17,13.11 [10.71 – 16.17]
EUR,Europe,LVA,Latvia,2019,Both sexes,13.19,11.07,15.32,13.19 [11.07 – 15.32]
AFR,Africa,SYC,Seychelles,2019,Male,13.41,10.77,15.62,13.41 [10.77 – 15.62]
AMR,Americas,CAN,Canada,2019,Male,13.73,11.91,15.77,13.73 [11.91 – 15.77]
AMR,Americas,CHL,Chile,2019,Male,13.74,11.87,15.92,13.74 [11.87 – 15.92]
SEAR,South-East Asia,THA,Thailand,2019,Male,13.75,11.54,16.72,13.75 [11.54 – 16.72]
EUR,Europe,SWE,Sweden,2019,Male,13.85,11.66,16.09,13.85 [11.66 – 16.09]
EUR,Europe,HRV,Croatia,2019,Male,13.96,11.73,17.86,13.96 [11.73 – 17.86]
EUR,Europe,UKR,Ukraine,2019,Male,14.0,11.57,17.05,14 [11.57 – 17.05]
EUR,Europe,ISL,Iceland,2019,Male,14.03,11.64,16.58,14.03 [11.64 – 16.58]
EUR,Europe,SRB,Serbia,2019,Male,14.09,12.04,16.28,14.09 [12.04 – 16.28]
AMR,Americas,GRD,Grenada,2019,Male,14.25,11.56,16.75,14.25 [11.56 – 16.75]
EUR,Europe,CZE,Czechia,2019,Both sexes,14.26,12.41,16.43,14.26 [12.41 – 16.43]
AFR,Africa,COG,Congo,2019,Male,14.55,11.43,17.54,14.55 [11.43 – 17.54]
AMR,Americas,ARG,Argentina,2019,Male,14.66,12.57,17.27,14.66 [12.57 – 17.27]
AFR,Africa,SWZ,Eswatini,2019,Male,14.78,12.59,17.82,14.78 [12.59 – 17.82]
EUR,Europe,NLD,Netherlands,2019,Male,14.9,12.96,17.23,14.9 [12.96 – 17.23]
AMR,Americas,ATG,Antigua and Barbuda,2019,Male,15.09,12.05,18.6,15.09 [12.05 – 18.6]
AMR,Americas,USA,United States of America,2019,Male,15.44,13.54,17.8,15.44 [13.54 – 17.8]
AMR,Americas,LCA,Saint Lucia,2019,Male,15.45,12.74,18.35,15.45 [12.74 – 18.35]
EUR,Europe,DNK,Denmark,2019,Male,15.58,13.2,18.05,15.58 [13.2 – 18.05]
WPR,Western Pacific,JPN,Japan,2019,Male,15.58,13.27,18.22,15.58 [13.27 – 18.22]
EUR,Europe,GEO,Georgia,2019,Male,15.61,13.42,18.4,15.61 [13.42 – 18.4]
WPR,Western Pacific,AUS,Australia,2019,Male,15.72,13.74,18.17,15.72 [13.74 – 18.17]
AFR,Africa,ZAF,South Africa,2019,Male,15.74,13.2,18.53,15.74 [13.2 – 18.53]
WPR,Western Pacific,NIU,Niue,2019,Male,16.04,13.51,18.43,16.04 [13.51 – 18.43]
